merge_key,style,blip_itm_score
dataset/kireime-casual/kireime-casual_494.jpg,kireime-casual,0.99917525
dataset/mode/mode_896.jpg,mode,0.99869835
dataset/kireime-casual/kireime-casual_725.jpg,kireime-casual,0.9689673
dataset/girlish/girlish_754.jpg,girlish,0.88876474
dataset/rock/rock_309.jpg,rock,0.99874324
dataset/mode/mode_307.jpg,mode,0.996438
dataset/natural/natural_763.jpg,natural,0.99879104
dataset/lolita/lolita_216.jpg,lolita,0.98488206
dataset/natural/natural_555.jpg,natural,0.9962475
dataset/conservative/conservative_857.jpg,conservative,0.9987502
dataset/street/street_270.jpg,street,0.9994436
dataset/gal/gal_535.jpg,gal,0.8533632
dataset/girlish/girlish_850.jpg,girlish,0.9864465
dataset/gal/gal_862.jpg,gal,0.9469712
dataset/natural/natural_610.jpg,natural,0.9995035
dataset/girlish/girlish_487.jpg,girlish,0.99868315
dataset/gal/gal_301.jpg,gal,0.93051845
dataset/rock/rock_184.jpg,rock,0.9966292
dataset/conservative/conservative_724.jpg,conservative,0.2408843
dataset/kireime-casual/kireime-casual_1047.jpg,kireime-casual,0.60352147
dataset/conservative/conservative_510.jpg,conservative,0.73656785
dataset/natural/natural_59.jpg,natural,0.99104846
dataset/girlish/girlish_830.jpg,girlish,0.83247143
dataset/girlish/girlish_27.jpg,girlish,0.46555257
dataset/conservative/conservative_446.jpg,conservative,0.99903405
dataset/gal/gal_377.jpg,gal,0.85941726
dataset/mode/mode_890.jpg,mode,0.9761487
dataset/natural/natural_407.jpg,natural,0.9201178
dataset/rock/rock_496.jpg,rock,0.9972166
dataset/dressy/dressy_440.jpg,dressy,0.9120482
dataset/street/street_101.jpg,street,0.99775285
dataset/fairy/fairy_622.jpg,fairy,0.9985097
dataset/girlish/girlish_530.jpeg,girlish,0.9998772
dataset/gal/gal_6.jpg,gal,0.9982994
dataset/fairy/fairy_636.jpg,fairy,0.99524504
dataset/lolita/lolita_616.jpg,lolita,0.9399151
dataset/natural/natural_725.jpg,natural,0.9989371
dataset/mode/mode_621.jpg,mode,0.9963381
dataset/retro/retro_70.jpg,retro,0.999498
dataset/dressy/dressy_428.jpg,dressy,0.96031016
dataset/dressy/dressy_333.jpg,dressy,0.9996587
dataset/feminine/feminine_200.jpg,feminine,0.99391466
dataset/rock/rock_760.jpg,rock,0.9999083
dataset/dressy/dressy_489.jpg,dressy,0.9263887
dataset/conservative/conservative_871.jpg,conservative,0.9975261
dataset/rock/rock_540.jpg,rock,0.99779344
dataset/street/street_987.jpg,street,0.9997781
dataset/natural/natural_533.jpg,natural,0.9932041
dataset/girlish/girlish_543.jpg,girlish,0.25502568
